,Symbol
267,ALB
268,MTB
269,APTV
270,GWW
271,TSCO
272,URI
273,CBRE
274,GPC
275,TROW
276,HIG
277,HPQ
278,ULTA
279,EIX
280,FANG
281,GLW
282,CDW
283,EFX
284,VMC
285,ACGL
286,LEN
287,AEE
288,WY
289,FTV
290,ETR
291,EBAY
292,FE
293,AVB
294,FITB
295,DTE
296,FRC
297,ARE
298,PPL
299,LH
300,LYB
301,IR
302,MLM
303,ANSS
304,MKC
305,DAL
306,WBD
307,NDAQ
308,RJF
309,HPE
310,WAT
311,RF
312,HBAN
313,CAH
314,PWR
315,LUV
316,EQR
317,XYL
318,CTRA
319,CHD
320,EXR
321,PFG
322,CFG
323,DOV
324,MOH
325,VRSN
326,AES
327,EPAM
328,HOLX
329,CNP
330,TDY
331,CAG
332,STE
333,K
334,NTRS
335,CMS
336,DGX
337,TSN
338,WAB
339,MAA
340,AMCR
341,VTR
342,PKI
343,MRO
344,WST
345,IEX
346,INVH
347,CLX
348,EXPD
349,SJM
350,CF
351,DRI
352,OMC
353,TRGP
354,TTWO
355,CINF
356,STLD
357,BBY
358,COO
359,KEY
360,BALL
361,BR
362,LVS
363,FMC
364,MPWR
365,SEDG
366,ATO
367,J
368,ALGN
369,APA
370,MOS
371,PAYC
372,ETSY
373,FDS
374,TXT
375,INCY
376,FSLR
377,AVY
378,SYF
379,WRB
380,SWKS
381,HWM
382,JBHT
383,LDOS
384,IRM
385,EVRG
386,GRMN
387,NVR
388,LKQ
389,FLT
390,TER
391,LNT
392,ESS
393,TYL
394,AKAM
395,PEAK
396,SIVB
397,NTAP
398,VTRS
399,ZBRA
400,CBOE
401,BRO
402,HRL
403,EXPE
404,RE
405,IPG
406,KIM
407,LW
408,JKHY
409,NDSN
410,TECH
411,PTC
412,TRMB
413,IP
414,DPZ
415,UAL
416,EQT
417,GEN
418,SNA
419,PKG
420,POOL
421,UDR
422,BF.B
423,CPT
424,MTCH
425,TFX
426,CPB
427,L
428,CHRW
429,HST
430,NI
431,SWK
432,HSIC
433,MGM
434,GL
435,CRL
436,RCL
437,PHM
438,MAS
439,MKTX
440,JNPR
441,STX
442,CE
443,EMN
444,LYV
445,KMX
446,CDAY
447,WDC
448,TAP
449,BBWI
450,BWA
451,TPR
452,BXP
453,REG
454,UHS
455,QRVO
456,ALLE
457,FOXA
458,HII
459,BIO
460,WRK
461,AAP
462,VFC
463,CZR
464,CMA
465,WYNN
466,PNW
467,FFIV
468,PARA
469,ROL
470,IVZ
471,AAL
472,RHI
473,CTLT
474,CCL
475,HAS
476,WHR
477,NRG
478,FRT
479,ZION
480,SEE
481,PNR
482,AOS
483,BEN
484,SBNY
485,NWSA
486,OGN
487,XRAY
488,AIZ
489,GNRC
490,DXC
491,ALK
492,MHK
493,NCLH
494,NWL
495,LUMN
496,LNC
497,RL
498,FOX
499,DVA
500,DISH
501,VNO
502,NWS
