,#,Company,Symbol,Weight,Price,Chg,% Chg
429,430,Loews Corporation,L,0.034745,57.85,0.0,(0.00%)
430,431,Henry Schein Inc.,HSIC,0.034684,80.64,0.0,(0.00%)
431,432,NiSource Inc,NI,0.034539,27.71,0.0,(0.00%)
432,433,MGM Resorts International,MGM,0.034284,33.58,-0.24,(-0.71%)
433,434,Charles River Laboratories International Inc.,CRL,0.033851,218.5,0.0,(0.00%)
434,435,Royal Caribbean Group,RCL,0.033766,49.75,-0.04,(-0.08%)
435,436,Stanley Black & Decker Inc.,SWK,0.033692,73.94,0.0,(0.00%)
436,437,Globe Life Inc.,GL,0.033371,120.14,0.0,(0.00%)
437,438,PulteGroup Inc.,PHM,0.033144,45.79,0.0,(0.00%)
438,439,MarketAxess Holdings Inc.,MKTX,0.032999,280.85,0.0,(0.00%)
439,440,Masco Corporation,MAS,0.032958,47.13,0.0,(0.00%)
440,441,Juniper Networks Inc.,JNPR,0.03148,31.67,0.0,(0.00%)
441,442,Celanese Corporation,CE,0.031386,102.56,0.0,(0.00%)
442,443,Live Nation Entertainment Inc.,LYV,0.031218,70.69,0.0,(0.00%)
443,444,Eastman Chemical Company,EMN,0.03112,82.73,0.55,(0.67%)
444,445,Seagate Technology Holdings PLC,STX,0.030493,50.38,-0.13,(-0.26%)
445,446,Molson Coors Beverage Company Class B,TAP,0.030085,52.0,0.07,(0.13%)
446,447,Boston Properties Inc.,BXP,0.029907,68.4,0.0,(0.00%)
447,448,Western Digital Corporation,WDC,0.029684,30.87,0.28,(0.92%)
448,449,Ceridian HCM Holding Inc.,CDAY,0.029448,62.03,0.0,(0.00%)
449,450,BorgWarner Inc.,BWA,0.029368,40.0,0.0,(0.00%)
450,451,Regency Centers Corporation,REG,0.029367,62.96,0.32,(0.51%)
451,452,Universal Health Services Inc. Class B,UHS,0.029348,140.76,0.0,(0.00%)
452,453,Tapestry Inc.,TPR,0.029308,37.42,0.0,(0.00%)
453,454,Qorvo Inc.,QRVO,0.029268,88.38,-2.12,(-2.34%)
454,455,Fox Corporation Class A,FOXA,0.029113,30.76,0.0,(0.00%)
455,456,Allegion Public Limited Company,ALLE,0.02909,104.58,-0.45,(-0.43%)
456,457,CarMax Inc.,KMX,0.028726,60.35,0.19,(0.32%)
457,458,Bath & Body Works Inc.,BBWI,0.028645,41.94,0.0,(0.00%)
458,459,Huntington Ingalls Industries Inc.,HII,0.028366,230.07,0.0,(0.00%)
459,460,Caesars Entertainment Inc,CZR,0.028194,42.65,-0.44,(-1.02%)
460,461,WestRock Company,WRK,0.027553,35.46,0.0,(0.00%)
461,462,Bio-Rad Laboratories Inc. Class A,BIO,0.027322,412.69,0.0,(0.00%)
462,463,Pinnacle West Capital Corporation,PNW,0.02695,77.93,0.0,(0.00%)
463,464,Comerica Incorporated,CMA,0.026869,66.08,0.0,(0.00%)
464,465,Advance Auto Parts Inc.,AAP,0.026797,143.57,0.29,(0.20%)
465,466,Rollins Inc.,ROL,0.026737,37.12,0.0,(0.00%)
466,467,Paramount Global Class B,PARA,0.026634,16.68,0.02,(0.12%)
467,468,Wynn Resorts Limited,WYNN,0.026537,80.5,-0.22,(-0.27%)
468,469,V.F. Corporation,VFC,0.026185,26.19,0.12,(0.46%)
469,470,F5 Inc.,FFIV,0.02594,140.38,-0.63,(-0.45%)
470,471,Invesco Ltd.,IVZ,0.025876,18.38,0.0,(0.00%)
471,472,American Airlines Group Inc.,AAL,0.025062,12.65,-0.06,(-0.47%)
472,473,Robert Half International Inc.,RHI,0.024673,73.38,0.0,(0.00%)
473,474,Carnival Corporation,CCL,0.023873,7.76,-0.05,(-0.64%)
474,475,Catalent Inc,CTLT,0.023843,43.35,0.0,(0.00%)
475,476,Whirlpool Corporation,WHR,0.023665,141.62,0.0,(0.00%)
476,477,NRG Energy Inc.,NRG,0.023352,31.91,0.0,(0.00%)
477,478,Federal Realty Investment Trust,FRT,0.023122,102.34,0.0,(0.00%)
478,479,Hasbro Inc.,HAS,0.022911,58.41,0.2,(0.34%)
479,480,Sealed Air Corporation,SEE,0.022863,49.96,0.0,(0.00%)
480,481,Zions Bancorporation N.A.,ZION,0.022659,48.45,0.0,(0.00%)
481,482,Pentair plc,PNR,0.022637,44.4,0.0,(0.00%)
482,483,Franklin Resources Inc.,BEN,0.022577,27.01,0.16,(0.60%)
483,484,A. O. Smith Corporation,AOS,0.022466,56.9,0.0,(0.00%)
484,485,Signature Bank,SBNY,0.022452,115.0,0.0,(0.00%)
485,486,Organon & Co.,OGN,0.021727,27.93,0.0,(0.00%)
486,487,News Corporation Class A,NWSA,0.021627,18.31,0.0,(0.00%)
487,488,DENTSPLY SIRONA Inc.,XRAY,0.021214,31.55,-0.28,(-0.88%)
488,489,Assurant Inc.,AIZ,0.020386,125.03,0.0,(0.00%)
489,490,DXC Technology Co.,DXC,0.018763,26.53,0.0,(0.00%)
490,491,Generac Holdings Inc.,GNRC,0.01749,92.19,0.0,(0.00%)
491,492,Norwegian Cruise Line Holdings Ltd.,NCLH,0.01688,13.0,0.0,(0.00%)
492,493,Alaska Air Group Inc.,ALK,0.016553,44.0,0.69,(1.59%)
